GROUP,VALUE,COMPONENT,EXPERT,WEIGHT,N,AUC
CHANNEL,opus_nb_8k,music,music_energy,0.2,300,0.9967499999999999
CHANNEL,opus_nb_8k,music,music_q90,0.0,300,0.9826500000000001
CHANNEL,opus_nb_8k,music,music_q90,0.01,300,0.9835
CHANNEL,opus_nb_8k,music,music_q90,0.025,300,0.98425
CHANNEL,opus_nb_8k,music,music_q90,0.05,300,0.98525
CHANNEL,opus_nb_8k,music,music_q90,0.075,300,0.9862
CHANNEL,opus_nb_8k,music,music_q90,0.1,300,0.9874999999999999
CHANNEL,opus_nb_8k,music,music_q90,0.15,300,0.9894999999999999
CHANNEL,opus_nb_8k,music,music_q90,0.2,300,0.9884
CHANNEL,opus_nb_8k,music,music_max,0.0,300,0.9826500000000001
CHANNEL,opus_nb_8k,music,music_max,0.01,300,0.9835
CHANNEL,opus_nb_8k,music,music_max,0.025,300,0.9841
CHANNEL,opus_nb_8k,music,music_max,0.05,300,0.98495
CHANNEL,opus_nb_8k,music,music_max,0.075,300,0.9861
CHANNEL,opus_nb_8k,music,music_max,0.1,300,0.98695
CHANNEL,opus_nb_8k,music,music_max,0.15,300,0.9873
CHANNEL,opus_nb_8k,music,music_max,0.2,300,0.9853999999999999
CHANNEL,opus_nb_8k,music,music_share,0.0,300,0.9826500000000001
CHANNEL,opus_nb_8k,music,music_share,0.01,300,0.9848
CHANNEL,opus_nb_8k,music,music_share,0.025,300,0.98775
CHANNEL,opus_nb_8k,music,music_share,0.05,300,0.99205
CHANNEL,opus_nb_8k,music,music_share,0.075,300,0.9942000000000001
CHANNEL,opus_nb_8k,music,music_share,0.1,300,0.99525
CHANNEL,opus_nb_8k,music,music_share,0.15,300,0.9963
CHANNEL,opus_nb_8k,music,music_share,0.2,300,0.9966999999999999
CHANNEL,opus_nb_8k,music,music_composite,0.0,300,0.9826500000000001
CHANNEL,opus_nb_8k,music,music_composite,0.01,300,0.98355
CHANNEL,opus_nb_8k,music,music_composite,0.025,300,0.9847000000000001
CHANNEL,opus_nb_8k,music,music_composite,0.05,300,0.9857
CHANNEL,opus_nb_8k,music,music_composite,0.075,300,0.9877500000000001
CHANNEL,opus_nb_8k,music,music_composite,0.1,300,0.98975
CHANNEL,opus_nb_8k,music,music_composite,0.15,300,0.9926999999999999
CHANNEL,opus_nb_8k,music,music_composite,0.2,300,0.9941
CHANNEL,resample8k,voice,voice_energy,0.0,300,0.94465
CHANNEL,resample8k,voice,voice_energy,0.01,300,0.9449500000000001
CHANNEL,resample8k,voice,voice_energy,0.025,300,0.9453
CHANNEL,resample8k,voice,voice_energy,0.05,300,0.94615
CHANNEL,resample8k,voice,voice_energy,0.075,300,0.9467
CHANNEL,resample8k,voice,voice_energy,0.1,300,0.9468
CHANNEL,resample8k,voice,voice_energy,0.15,300,0.9480500000000001
CHANNEL,resample8k,voice,voice_energy,0.2,300,0.9486
CHANNEL,resample8k,voice,voice_q90,0.0,300,0.94465
CHANNEL,resample8k,voice,voice_q90,0.01,300,0.9446
CHANNEL,resample8k,voice,voice_q90,0.025,300,0.9447000000000001
CHANNEL,resample8k,voice,voice_q90,0.05,300,0.9448
CHANNEL,resample8k,voice,voice_q90,0.075,300,0.945
CHANNEL,resample8k,voice,voice_q90,0.1,300,0.94515
