DATASET,VOICE_WEIGHT,FILE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA,FILE_EER_DELTA,VOICE_EER_DELTA
factorial,0.025,0.1,400,400,350,350,0.20945454545454545,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7872727272727272,0.9958571428571428,0.8081311688311688,0.011454545454545384,-0.022909090909090934,0.0
phone,0.025,0.1,1200,1200,800,800,0.16171428571428575,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8356428571428571,0.9703312500000001,0.8491116964285715,0.00928571428571423,-0.016571428571428543,-0.0050000000000000044
yue,0.025,0.1,124,124,108,124,0.10122282608695654,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8757461138382421,,,0.010529891304347672,-0.02105978260869562,0.0
factorial,0.05,0.0,400,400,350,350,0.23236363636363638,0.21714285714285717,0.2114285714285714,0.9928,0.9989142857142856,0.776961038961039,0.9958571428571428,0.7988506493506493,0.0011428571428571122,0.0,-0.0057142857142856995
phone,0.05,0.0,1200,1200,800,800,0.1782857142857143,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8278571428571428,0.9703312500000001,0.8421045535714287,0.0014999999999999458,0.0,-0.007499999999999951
yue,0.05,0.0,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.05,0.01,400,400,350,350,0.23236363636363638,0.21714285714285717,0.2114285714285714,0.9928,0.9989142857142856,0.776961038961039,0.9958571428571428,0.7988506493506493,0.0011428571428571122,0.0,-0.0057142857142856995
phone,0.05,0.01,1200,1200,800,800,0.17585714285714285,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8290714285714286,0.9703312500000001,0.8431974107142858,0.002714285714285669,-0.0024285714285714466,-0.007499999999999951
yue,0.05,0.01,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.05,0.025,400,400,350,350,0.22472727272727272,0.21714285714285717,0.2114285714285714,0.9928,0.9989142857142856,0.7807792207792208,0.9958571428571428,0.802287012987013,0.004961038961038944,-0.007636363636363663,-0.0057142857142856995
phone,0.05,0.025,1200,1200,800,800,0.17171428571428568,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8311428571428572,0.9703312500000001,0.8450616964285715,0.004785714285714282,-0.006571428571428617,-0.007499999999999951
yue,0.05,0.025,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.05,0.05,400,400,350,350,0.22472727272727272,0.21714285714285717,0.2114285714285714,0.9928,0.9989142857142856,0.7807792207792208,0.9958571428571428,0.802287012987013,0.004961038961038944,-0.007636363636363663,-0.0057142857142856995
phone,0.05,0.05,1200,1200,800,800,0.16828571428571432,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8328571428571429,0.9703312500000001,0.8466045535714286,0.00649999999999995,-0.009999999999999981,-0.007499999999999951
yue,0.05,0.05,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.05,0.075,400,400,350,350,0.2229090909090909,0.21714285714285717,0.2114285714285714,0.9928,0.9989142857142856,0.7816883116883117,0.9958571428571428,0.8031051948051948,0.005870129870129803,-0.009454545454545493,-0.0057142857142856995
phone,0.05,0.075,1200,1200,800,800,0.16414285714285715,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8349285714285715,0.9703312500000001,0.8484688392857144,0.008571428571428563,-0.014142857142857151,-0.007499999999999951
yue,0.05,0.075,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.05,0.1,400,400,350,350,0.20945454545454545,0.21714285714285717,0.2114285714285714,0.9928,0.9989142857142856,0.7884155844155843,0.9958571428571428,0.8091597402597402,0.012597402597402496,-0.022909090909090934,-0.0057142857142856995
phone,0.05,0.1,1200,1200,800,800,0.16171428571428575,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8361428571428572,0.9703312500000001,0.8495616964285715,0.009785714285714286,-0.016571428571428543,-0.007499999999999951
yue,0.05,0.1,124,124,108,124,0.10122282608695654,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8794961138382422,,,0.014279891304347814,-0.02105978260869562,-0.01874999999999999
