BANK,ROLE,MODEL,GROUP,VALUE,N,FILE_EER
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE,partial_overlap,200,0.24333333333333335
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE,sequential,200,0.15666666666666668
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,CHANNEL,clean,120,0.09444444444444446
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,CHANNEL,g711_ulaw,120,0.17222222222222222
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,CHANNEL,g722_wb,120,0.16666666666666663
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,CHANNEL,opus_nb_8k,120,0.33333333333333337
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,CHANNEL,transcode_g711_opus,120,0.33333333333333337
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,IS_PHONE,False,239,0.11699255121042833
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,IS_PHONE,True,361,0.29760147601476017
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_RF,100,0.26
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FR,100,0.38
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FF,100,0.18000000000000002
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_RF,100,0.33999999999999997
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FR,100,0.21999999999999997
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FF,100,0.21999999999999997
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_RF,100,0.19999999999999998
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FR,100,0.12
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FF,100,0.14
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE,concurrent,200,0.27666666666666667
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE,partial_overlap,200,0.24
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE,sequential,200,0.16000000000000003
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,CHANNEL,clean,120,0.09999999999999999
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,CHANNEL,g711_ulaw,120,0.19999999999999998
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,CHANNEL,g722_wb,120,0.16666666666666663
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,CHANNEL,opus_nb_8k,120,0.3388888888888889
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,CHANNEL,transcode_g711_opus,120,0.3055555555555556
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,IS_PHONE,False,239,0.11699255121042833
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,IS_PHONE,True,361,0.29944649446494465
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_RF,100,0.26
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FR,100,0.4
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FF,100,0.19999999999999998
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_RF,100,0.31999999999999995
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FR,100,0.24
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FF,100,0.19999999999999998
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_RF,100,0.21999999999999997
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FR,100,0.12
codec_mixed_dev_v4,selection,presence_logit_max_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FF,100,0.16000000000000003
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE,concurrent,200,0.26
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE,partial_overlap,200,0.24
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE,sequential,200,0.1433333333333333
codec_mixed_dev_v4,selection,phone_w30_w20_gated,CHANNEL,clean,120,0.06666666666666665
codec_mixed_dev_v4,selection,phone_w30_w20_gated,CHANNEL,g711_ulaw,120,0.19444444444444445
codec_mixed_dev_v4,selection,phone_w30_w20_gated,CHANNEL,g722_wb,120,0.1388888888888889
codec_mixed_dev_v4,selection,phone_w30_w20_gated,CHANNEL,opus_nb_8k,120,0.33333333333333337
codec_mixed_dev_v4,selection,phone_w30_w20_gated,CHANNEL,transcode_g711_opus,120,0.30000000000000004
codec_mixed_dev_v4,selection,phone_w30_w20_gated,IS_PHONE,False,239,0.10027932960893855
codec_mixed_dev_v4,selection,phone_w30_w20_gated,IS_PHONE,True,361,0.28835588355883557
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_RF,100,0.26
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FR,100,0.33999999999999997
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FF,100,0.16000000000000003
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_RF,100,0.31999999999999995
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FR,100,0.21999999999999997
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FF,100,0.21999999999999997
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_RF,100,0.21999999999999997
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FR,100,0.09999999999999999
codec_mixed_dev_v4,selection,phone_w30_w20_gated,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FF,100,0.14
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE,concurrent,200,0.26
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE,partial_overlap,200,0.23666666666666664
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE,sequential,200,0.14
codec_mixed_dev_v4,selection,learned_monotone_l2_1,CHANNEL,clean,120,0.06666666666666665
codec_mixed_dev_v4,selection,learned_monotone_l2_1,CHANNEL,g711_ulaw,120,0.19444444444444445
codec_mixed_dev_v4,selection,learned_monotone_l2_1,CHANNEL,g722_wb,120,0.1388888888888889
codec_mixed_dev_v4,selection,learned_monotone_l2_1,CHANNEL,opus_nb_8k,120,0.33333333333333337
codec_mixed_dev_v4,selection,learned_monotone_l2_1,CHANNEL,transcode_g711_opus,120,0.30000000000000004
codec_mixed_dev_v4,selection,learned_monotone_l2_1,IS_PHONE,False,239,0.10027932960893855
codec_mixed_dev_v4,selection,learned_monotone_l2_1,IS_PHONE,True,361,0.28835588355883557
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_RF,100,0.24
codec_mixed_dev_v4,selection,learned_monotone_l2_1,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FR,100,0.33999999999999997
