variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
xlsr_wavlm_lora,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.12280701754385964
xlsr_wavlm_lora,COMPONENT_CASE,real_voice_only,145,145,0,,0.20689655172413793,
xlsr_wavlm_lora,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.10232558139534886,0.32222222222222224,0.011627906976744186
xlsr_wavlm_lora,DATASET,codec_mixed_dev_v4,600,300,300,0.1766666666666667,0.08,0.27666666666666667
xlsr_wavlm_lora,DATASET,external_mixed_v1,400,200,200,0.15999999999999998,0.15,0.16
xlsr_wavlm_lora,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.15500000000000003,0.175,0.14
xlsr_wavlm_lora,DATASET,factorial_eval_1200_v2,350,175,175,0.2628571428571429,0.11428571428571428,0.41714285714285715
xlsr_wavlm_lora,DATASET,mixfake_music_dev_v1,1600,800,800,0.053749999999999964,0.02625,0.08375
xlsr_wavlm_lora,DATASET,multigen_voice_v2,90,30,60,0.125,0.03333333333333333,0.25
xlsr_wavlm_lora,DATASET,source_disjoint_mixed_v1,200,100,100,0.18,0.32,0.06
xlsr_wavlm_lora,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.16999999999999998,0.33,0.05
xlsr_wavlm_lora,CHANNEL_V57,clean,120,60,60,0.10000000000000003,0.03333333333333333,0.21666666666666667
xlsr_wavlm_lora,CHANNEL_V57,clean_flac,58,29,29,0.24137931034482762,0.10344827586206896,0.27586206896551724
xlsr_wavlm_lora,CHANNEL_V57,flac16k,600,300,300,0.14999999999999997,0.20666666666666667,0.12666666666666668
xlsr_wavlm_lora,CHANNEL_V57,g711_ulaw,120,60,60,0.1333333333333333,0.016666666666666666,0.25
xlsr_wavlm_lora,CHANNEL_V57,g722_wb,120,60,60,0.10000000000000003,0.05,0.21666666666666667
xlsr_wavlm_lora,CHANNEL_V57,mp3_64k,58,29,29,0.41379310344827586,0.20689655172413793,0.5172413793103449
xlsr_wavlm_lora,CHANNEL_V57,noisy_flac,58,29,29,0.2068965517241379,0.034482758620689655,0.3793103448275862
xlsr_wavlm_lora,CHANNEL_V57,ogg_48k,59,29,30,0.23735632183908045,0.13793103448275862,0.3
xlsr_wavlm_lora,CHANNEL_V57,opus_nb_8k,120,60,60,0.23333333333333334,0.13333333333333333,0.36666666666666664
xlsr_wavlm_lora,CHANNEL_V57,stereo_wav,59,30,29,0.2712643678160919,0.1,0.5517241379310345
xlsr_wavlm_lora,CHANNEL_V57,telephone8k,600,300,300,0.14999999999999997,0.22666666666666666,0.11
xlsr_wavlm_lora,CHANNEL_V57,telephone_flac,58,29,29,0.24137931034482762,0.10344827586206896,0.4827586206896552
xlsr_wavlm_lora,CHANNEL_V57,transcode_g711_opus,120,60,60,0.30000000000000004,0.16666666666666666,0.3333333333333333
xlsr_wavlm_lora,CHANNEL_V57,unknown,90,30,60,0.125,0.03333333333333333,0.25
xlsr_wavlm_lora,CHANNEL_V57,wav,176,90,86,0.10232558139534886,0.32222222222222224,0.011627906976744186
xlsr_wavlm_lora,CHANNEL_V57,wav16k,1600,800,800,0.053749999999999964,0.02625,0.08375
xlsr_wavlm_lora,LAYOUT_V57,concurrent,1900,950,950,0.08631578947368418,0.034736842105263156,0.14842105263157895
xlsr_wavlm_lora,LAYOUT_V57,partial_overlap,300,150,150,0.19999999999999996,0.12,0.2733333333333333
xlsr_wavlm_lora,LAYOUT_V57,sequential,900,450,450,0.15333333333333332,0.15777777777777777,0.14888888888888888
xlsr_wavlm_lora,LAYOUT_V57,simultaneous,600,300,300,0.16999999999999998,0.24333333333333335,0.13333333333333333
xlsr_wavlm_lora,LAYOUT_V57,speech_only,266,120,146,0.19172374429223743,0.25,0.1095890410958904
xlsr_wavlm_lora,LAYOUT_V57,voice_only,50,25,25,0.08000000000000002,0.0,0.2
