LAYER,ALPHA,BETA,DATASET,SCOPE,FILE_EER,MUSIC_EER
1,10000.0,0.1,source_disjoint_mixed_v1,all_codecs,0.3541666666666667,0.4325
1,10000.0,0.1,source_disjoint_mixed_v1,worst_codec,0.37666666666666665,0.42000000000000004
1,10000.0,0.25,external_mixed_v1,all_codecs,0.25749999999999995,0.30000000000000004
1,10000.0,0.25,external_mixed_v1,worst_codec,0.28,0.32499999999999996
1,10000.0,0.25,source_disjoint_mixed_v1,all_codecs,0.35916666666666663,0.43500000000000005
1,10000.0,0.25,source_disjoint_mixed_v1,worst_codec,0.38,0.42000000000000004
1,10000.0,0.5,external_mixed_v1,all_codecs,0.25,0.28
1,10000.0,0.5,external_mixed_v1,worst_codec,0.28,0.30000000000000004
1,10000.0,0.5,source_disjoint_mixed_v1,all_codecs,0.36,0.4225
1,10000.0,0.5,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,10000.0,0.75,external_mixed_v1,all_codecs,0.24750000000000003,0.255
1,10000.0,0.75,external_mixed_v1,worst_codec,0.28,0.29000000000000004
1,10000.0,0.75,source_disjoint_mixed_v1,all_codecs,0.355,0.42000000000000004
1,10000.0,0.75,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
1,10000.0,1.0,external_mixed_v1,all_codecs,0.25,0.24750000000000003
1,10000.0,1.0,external_mixed_v1,worst_codec,0.2783333333333333,0.29500000000000004
1,10000.0,1.0,source_disjoint_mixed_v1,all_codecs,0.355,0.405
1,10000.0,1.0,source_disjoint_mixed_v1,worst_codec,0.38,0.44999999999999996
2,1.0,0.0,external_mixed_v1,all_codecs,0.25958333333333333,0.32125000000000004
2,1.0,0.0,external_mixed_v1,worst_codec,0.29000000000000004,0.35
2,1.0,0.0,source_disjoint_mixed_v1,all_codecs,0.355,0.43999999999999995
2,1.0,0.0,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
2,1.0,0.1,external_mixed_v1,all_codecs,0.26,0.31499999999999995
2,1.0,0.1,external_mixed_v1,worst_codec,0.28833333333333333,0.33999999999999997
2,1.0,0.1,source_disjoint_mixed_v1,all_codecs,0.35083333333333333,0.4325
2,1.0,0.1,source_disjoint_mixed_v1,worst_codec,0.36333333333333334,0.42000000000000004
2,1.0,0.25,external_mixed_v1,all_codecs,0.25749999999999995,0.30000000000000004
2,1.0,0.25,external_mixed_v1,worst_codec,0.28,0.31999999999999995
2,1.0,0.25,source_disjoint_mixed_v1,all_codecs,0.3441666666666667,0.4275
2,1.0,0.25,source_disjoint_mixed_v1,worst_codec,0.36333333333333334,0.42000000000000004
2,1.0,0.5,external_mixed_v1,all_codecs,0.25249999999999995,0.28
2,1.0,0.5,external_mixed_v1,worst_codec,0.28833333333333333,0.31000000000000005
2,1.0,0.5,source_disjoint_mixed_v1,all_codecs,0.3408333333333333,0.42000000000000004
2,1.0,0.5,source_disjoint_mixed_v1,worst_codec,0.38,0.41000000000000003
2,1.0,0.75,external_mixed_v1,all_codecs,0.25749999999999995,0.26249999999999996
2,1.0,0.75,external_mixed_v1,worst_codec,0.2816666666666667,0.30500000000000005
2,1.0,0.75,source_disjoint_mixed_v1,all_codecs,0.345,0.41500000000000004
