MODE,ROUTE,POOL,WEIGHT,FILE_RATIO,dev,factorial,factorial_plus_phone,phone,yue,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
residual,soft_nonphone,Q75,0.025,1.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.0027173913043478937,-0.0034285714285713365,-0.0015364906832298075
residual,global,LME_T5,0.15,0.0,-0.0034285714285713365,0.0,-0.0036521739130435105,-0.0030000000000001137,0.0,-0.0034285714285713365,-0.0016071428571428625
residual,global,MEAN,0.2,0.0,0.0,0.0017142857142857792,-0.001565217391304441,-0.003750000000000031,0.0,-0.003750000000000031,-0.000508928571428563
residual,global,MEAN,0.01,1.0,-0.0038181818181818317,0.0038181818181819427,-0.0005217391304347396,0.0,0.0,-0.0038181818181818317,2.7755575615628914e-17
residual,global,LME_T5,0.01,1.0,-0.0038181818181818317,0.0038181818181819427,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0038181818181818317,-0.0006793478260869457
residual,global,LME_T5,0.01,0.25,-0.0038181818181818317,0.0,-0.0005217391304347396,0.0,0.0,-0.0038181818181818317,-0.0009545454545454579
residual,global,LME_T5,0.01,0.5,-0.0038181818181818317,0.0,-0.0005217391304347396,0.0,0.0,-0.0038181818181818317,-0.0009545454545454579
residual,global,MEAN,0.01,0.5,-0.0038181818181818317,0.0,-0.0005217391304347396,0.0,0.0,-0.0038181818181818317,-0.0009545454545454579
residual,hard_nonphone,MEAN,0.1,0.5,-0.0038181818181818317,0.0017142857142857792,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0038181818181818317,-0.0012053218520609865
residual,soft_nonphone,MEAN,0.1,0.5,-0.0038181818181818317,0.0017142857142857792,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0038181818181818317,-0.0012053218520609865
residual,global,MEAN,0.15,0.25,-0.0038181818181818317,0.0029090909090909722,-0.001565217391304441,-0.0022500000000000853,-0.0027173913043478937,-0.0038181818181818317,-0.0014691205533597096
residual,hard_nonphone,LME_T5,0.15,0.25,-0.0038181818181818317,0.0,-0.0020869565217391806,0.0,-0.0027173913043478937,-0.0038181818181818317,-0.0016338932806324313
residual,hard_nonphone,MEAN,0.075,0.5,-0.0038181818181818317,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0038181818181818317,-0.0016338932806324313
residual,soft_nonphone,LME_T5,0.15,0.25,-0.0038181818181818317,0.0,-0.0020869565217391806,0.0,-0.0027173913043478937,-0.0038181818181818317,-0.0016338932806324313
residual,soft_nonphone,MEAN,0.075,0.5,-0.0038181818181818317,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0038181818181818317,-0.0016338932806324313
residual,global,MEAN,0.2,0.25,-0.0038181818181818317,0.0017142857142857792,4.013377926326278e-06,-0.003750000000000031,-0.0027173913043478937,-0.0038181818181818317,-0.0021428218520609943
moe,global,Q75,0.01,1.0,-0.004337662337662307,0.0029090909090909722,-0.004177926421404798,0.0,0.0,-0.004337662337662307,-0.00035714285714283367
moe,global,Q75,0.01,0.5,-0.004337662337662307,0.0,-0.0035215161649944093,-0.0008571428571428896,0.0,-0.004337662337662307,-0.0012987012987012991
residual,hard_nonphone,MEAN,0.3,0.0,0.0034285714285714475,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.00035253456221198687
residual,soft_nonphone,MEAN,0.3,0.0,0.0034285714285714475,0.0,-0.0010434782608695903,0.0,-0.004838709677419395,-0.004838709677419395,-0.00035253456221198687
moe,global,LME_T5,0.01,0.0,-0.0017142857142856682,0.0,-0.00260869565217392,0.0,-0.004838709677419395,-0.004838709677419395,-0.0016382488479262658
moe,hard_nonphone,LME_T5,0.01,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,-0.004838709677419395,-0.004838709677419395,-0.0016382488479262658
moe,hard_nonphone,MAX,0.01,0.0,-0.0017142857142856682,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.0016382488479262658
moe,soft_nonphone,LME_T5,0.01,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,-0.004838709677419395,-0.004838709677419395,-0.0016382488479262658
moe,soft_nonphone,MAX,0.01,0.0,-0.0017142857142856682,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.0016382488479262658
residual,hard_nonphone,LME_T5,0.075,0.0,-0.0017142857142856682,0.0,-0.0020869565217391806,0.0,-0.004838709677419395,-0.004838709677419395,-0.0016382488479262658
residual,soft_nonphone,LME_T5,0.075,0.0,-0.0017142857142856682,0.0,-0.0020869565217391806,0.0,-0.004838709677419395,-0.004838709677419395,-0.0016382488479262658
moe,hard_nonphone,LME_T5,0.01,0.25,-0.0026233766233766387,0.0,-0.0005217391304347396,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,hard_nonphone,LME_T5,0.01,0.5,-0.0026233766233766387,0.0,-0.0011781493868451287,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,hard_nonphone,MAX,0.01,0.25,-0.0026233766233766387,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,hard_nonphone,MAX,0.01,0.5,-0.0026233766233766387,0.0,-0.002221627647714608,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,soft_nonphone,LME_T5,0.01,0.25,-0.0026233766233766387,0.0,-0.0005217391304347396,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,soft_nonphone,LME_T5,0.01,0.5,-0.0026233766233766387,0.0,-0.0011781493868451287,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,soft_nonphone,MAX,0.01,0.25,-0.0026233766233766387,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,soft_nonphone,MAX,0.01,0.5,-0.0026233766233766387,0.0,-0.002221627647714608,0.0,-0.004838709677419395,-0.004838709677419395,-0.0018655215751990084
moe,global,MAX,0.01,0.0,-0.0034285714285713365,0.0,-0.00260869565217392,0.0,-0.004838709677419395,-0.004838709677419395,-0.002066820276497683
moe,hard_nonphone,LME_T5,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.002066820276497683
moe,hard_nonphone,MEAN,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.002066820276497683
moe,soft_nonphone,LME_T5,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.002066820276497683
moe,soft_nonphone,MEAN,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.004838709677419395,-0.004838709677419395,-0.002066820276497683
