DURATION,MIX_MODE,COMPONENT_CASE,CHANNEL,FILE_MEDIAN_PROB,FILE_ERROR_AT_FIXED_HALF,VOICE_MEDIAN_PROB,VOICE_ERROR_AT_FIXED_HALF,MUSIC_MEDIAN_PROB,MUSIC_ERROR_AT_FIXED_HALF
60,sequential_music_first,RR,g711_ulaw,0.4738711714744568,0.4,0.5699191689491272,0.6,0.015610449947416782,0.1
60,sequential_music_first,RR,opus_nb_8k,0.16682208329439163,0.3,0.1921139881014824,0.0,0.020227357745170593,0.1
60,sequential_voice_first,FF,clean,0.9999988675117493,0.0,0.9974269568920135,0.0,0.9996911585330963,0.0
60,sequential_voice_first,FF,g711_ulaw,0.9995916485786438,0.0,0.9934329092502594,0.0,0.795028567314148,0.2
60,sequential_voice_first,FF,opus_nb_8k,0.9371155202388763,0.0,0.8962603509426117,0.0,0.05094357579946518,0.9
60,sequential_voice_first,FR,clean,0.999901533126831,0.0,0.9974274337291718,0.0,0.167548056691885,0.1
60,sequential_voice_first,FR,g711_ulaw,0.9979862570762634,0.0,0.9934826493263245,0.0,0.038029761984944344,0.1
60,sequential_voice_first,FR,opus_nb_8k,0.9375255703926086,0.0,0.8964432775974274,0.0,0.022162631154060364,0.0
60,sequential_voice_first,RF,clean,0.999997615814209,0.0,0.2912716269493103,0.0,0.9996318221092224,0.0
60,sequential_voice_first,RF,g711_ulaw,0.9332503974437714,0.0,0.48799794912338257,0.4,0.7953404486179352,0.1
60,sequential_voice_first,RF,opus_nb_8k,0.2308904305100441,0.7,0.23959696292877197,0.0,0.055840468034148216,0.9
60,sequential_voice_first,RR,clean,0.34466445446014404,0.3,0.3075934797525406,0.2,0.03121255524456501,0.1
60,sequential_voice_first,RR,g711_ulaw,0.4055705964565277,0.4,0.479775607585907,0.4,0.014137230813503265,0.1
60,sequential_voice_first,RR,opus_nb_8k,0.18985529989004135,0.3,0.21962083131074905,0.0,0.019532031379640102,0.0
60,sparse_music,FF,clean,0.8901787400245667,0.0,0.9099816977977753,0.0,0.0452854260802269,0.9
60,sparse_music,FF,g711_ulaw,0.9856427311897278,0.0,0.988663375377655,0.0,0.05952353775501251,1.0
60,sparse_music,FF,opus_nb_8k,0.4511139243841171,0.5,0.5848788321018219,0.3,0.024172195233404636,1.0
60,sparse_music,FR,clean,0.8893103897571564,0.0,0.9098609089851379,0.0,0.0436286274343729,0.0
60,sparse_music,FR,g711_ulaw,0.9858681857585907,0.0,0.9886250793933868,0.0,0.03610835876315832,0.0
60,sparse_music,FR,opus_nb_8k,0.4370964616537094,0.6,0.6181677579879761,0.4,0.023003184236586094,0.0
60,sparse_music,RF,clean,0.32953135669231415,0.8,0.3057706207036972,0.1,0.03343679290264845,1.0
60,sparse_music,RF,g711_ulaw,0.6883847117424011,0.2,0.7009589076042175,0.9,0.022083481773734093,1.0
60,sparse_music,RF,opus_nb_8k,0.230875663459301,1.0,0.387979194521904,0.2,0.01735025178641081,1.0
60,sparse_music,RR,clean,0.3043110966682434,0.2,0.27915409207344055,0.1,0.032686980441212654,0.0
60,sparse_music,RR,g711_ulaw,0.6894201636314392,0.9,0.6895455420017242,1.0,0.021220756694674492,0.0
60,sparse_music,RR,opus_nb_8k,0.2519431561231613,0.0,0.4042121320962906,0.2,0.017860326915979385,0.0
60,sparse_voice,FF,clean,0.9999882578849792,0.0,0.2719009816646576,0.8,0.9995790123939514,0.0
60,sparse_voice,FF,g711_ulaw,0.9993885159492493,0.0,0.7673495709896088,0.0,0.985158234834671,0.1
60,sparse_voice,FF,opus_nb_8k,0.71632319688797,0.2,0.4601864069700241,0.5,0.17440485581755638,0.8
60,sparse_voice,FR,clean,0.2655922472476959,0.8,0.28287261724472046,0.9,0.03271504305303097,0.0
60,sparse_voice,FR,g711_ulaw,0.6286306083202362,0.2,0.6964544951915741,0.1,0.01809634268283844,0.0
60,sparse_voice,FR,opus_nb_8k,0.24077846854925156,1.0,0.4144801050424576,0.8,0.018152177333831787,0.0
60,sparse_voice,RF,clean,0.999981701374054,0.0,0.2693006843328476,0.2,0.9993332028388977,0.0
60,sparse_voice,RF,g711_ulaw,0.9993885159492493,0.0,0.765059769153595,1.0,0.985544890165329,0.1
60,sparse_voice,RF,opus_nb_8k,0.7078938186168671,0.2,0.4806073158979416,0.5,0.2377813681960106,0.9
60,sparse_voice,RR,clean,0.2603404298424721,0.2,0.2780822813510895,0.1,0.03277647215873003,0.0
60,sparse_voice,RR,g711_ulaw,0.602395087480545,0.8,0.7054301798343658,0.9,0.018589691258966923,0.0
