VIEWS,METHOD,NORMAL_WEIGHT,PHONE_WEIGHT,FILE_EER,WORST_CHANNEL_EER,MIN_CHANNEL_DELTA,ROBUST_OBJECTIVE
2,hard,0.30000000000000004,0.2,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,hard,0.30000000000000004,0.30000000000000004,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
2,hard,0.30000000000000004,0.4,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
2,hard,0.30000000000000004,0.5,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,hard,0.30000000000000004,0.6000000000000001,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,hard,0.30000000000000004,0.7000000000000001,0.15236363636363637,0.15108695652173915,-0.0467391304347826,0.15172529644268776
2,hard,0.30000000000000004,0.8,0.15236363636363637,0.15108695652173915,-0.0467391304347826,0.15172529644268776
2,hard,0.30000000000000004,0.9,0.15236363636363637,0.15108695652173915,-0.0467391304347826,0.15172529644268776
2,hard,0.30000000000000004,1.0,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,hard,0.4,0.0,0.1581818181818182,0.16010638297872343,-0.0467391304347826,0.15914410058027081
2,hard,0.4,0.1,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,hard,0.4,0.2,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,hard,0.4,0.30000000000000004,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
2,hard,0.4,0.4,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
2,hard,0.4,0.5,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,hard,0.4,0.6000000000000001,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,hard,0.4,0.7000000000000001,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,hard,0.4,0.8,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,hard,0.4,0.9,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.4,1.0,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.5,0.0,0.16000000000000003,0.16010638297872343,-0.0467391304347826,0.16005319148936173
2,hard,0.5,0.1,0.16000000000000003,0.16010638297872343,-0.0467391304347826,0.16005319148936173
2,hard,0.5,0.2,0.16000000000000003,0.16010638297872343,-0.0467391304347826,0.16005319148936173
2,hard,0.5,0.30000000000000004,0.16000000000000003,0.19574468085106386,-0.0467391304347826,0.17787234042553196
2,hard,0.5,0.4,0.16000000000000003,0.19574468085106386,-0.0467391304347826,0.17787234042553196
2,hard,0.5,0.5,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.5,0.6000000000000001,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.5,0.7000000000000001,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.5,0.8,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.5,0.9,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.5,1.0,0.16000000000000003,0.15108695652173915,-0.0467391304347826,0.1555434782608696
2,hard,0.6000000000000001,0.0,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.6000000000000001,0.1,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.6000000000000001,0.2,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.6000000000000001,0.30000000000000004,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.6000000000000001,0.4,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.6000000000000001,0.5,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.6000000000000001,0.6000000000000001,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.6000000000000001,0.7000000000000001,0.16945454545454547,0.19782608695652174,-0.09347826086956519,0.18364031620553362
2,hard,0.6000000000000001,0.8,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.6000000000000001,0.9,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.6000000000000001,1.0,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.0,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.1,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.2,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.30000000000000004,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.4,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.5,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.6000000000000001,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.7000000000000001,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.8,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
2,hard,0.7000000000000001,0.9,0.17527272727272727,0.19782608695652174,-0.09347826086956519,0.1865494071146245
