axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,variant
MUSIC_GENERATOR,suno,148,148,143,148,,0.12592954990215266,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,udio,150,150,147,150,,0.1701298701298701,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.1612929600678195,0.24802618407193655,0.11104620976116306,0.9954058212723771,0.9982262944906006,0.836434420223354,0.9968160578814889,0.8524725839891675,dense_supervised
DATASET,asvspoof_voice_wav_dev_v1,176,176,176,0,0.1988372093023256,0.24431524547803618,,,,,,,parent_global
DATASET,codec_mixed_dev_v4,600,600,600,600,0.2466666666666667,0.2633333333333333,0.21333333333333337,,,0.76,,,parent_global
DATASET,echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,,parent_global
DATASET,external_mixed_v1,400,400,400,400,0.15166666666666667,0.17500000000000002,0.14,,,0.8471666666666667,,,parent_global
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.15166666666666667,0.18500000000000003,0.15500000000000003,,,0.8406666666666667,,,parent_global
DATASET,factorial_eval_1200_v2,400,400,350,350,0.18290909090909088,0.2628571428571429,0.18285714285714283,0.9980571428571429,0.9997714285714285,0.8011168831168831,0.9989142857142856,0.8208966233766235,parent_global
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.11250000000000002,0.12749999999999997,0.09624999999999997,,,0.889375,,,parent_global
DATASET,multigen_voice_v2,90,90,90,0,0.125,0.1333333333333333,,,,,,,parent_global
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.22999999999999998,0.07999999999999999,,,0.8200000000000001,,,parent_global
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.28,0.27,0.15000000000000002,,,0.761,,,parent_global
DATASET,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,,parent_global
CHANNEL_V57,clean,120,120,120,120,0.1333333333333333,0.25,0.06666666666666665,,,0.8633333333333333,,,parent_global
