MODEL,AXIS,GROUP,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
v1_strict,CHANNEL_V57,unknown,90,90,90,0,0.058333333333333355,0.09166666666666669,,,,,,,0.9321428571428572
v1_strict,CHANNEL_V57,wav,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_strict,CHANNEL_V57,wav16k,1600,1600,1600,1600,0.06499999999999997,0.08374999999999999,0.07874999999999999,,,0.927125,,,0.927125
v1_strict,AUDIO_TYPE,mixed,3700,3700,3700,3700,0.14828828828828833,0.16756756756756755,0.15135135135135136,,,0.8469369369369371,,,0.8469369369369371
v1_strict,AUDIO_TYPE,music,561,561,0,561,0.09269191662430096,,0.11051728520589733,,,,,,0.9006235701576004
v1_strict,AUDIO_TYPE,voice,316,316,316,0,0.05390199637023596,0.05682597297842307,,,,,,,0.9452625817417106
v1_strict,VOICE_GENERATOR_V57,A07,20,20,20,20,,,0.30000000000000004,,,,,,0.7
v1_strict,VOICE_GENERATOR_V57,A08,25,25,25,25,,,0.2833333333333333,,,,,,0.7166666666666667
v1_strict,VOICE_GENERATOR_V57,A09,20,20,20,20,,,0.2333333333333333,,,,,,0.7666666666666667
v1_strict,VOICE_GENERATOR_V57,A10,25,25,25,25,,,0.4,,,,,,0.6
v1_strict,VOICE_GENERATOR_V57,A11,25,25,25,25,,,0.31666666666666665,,,,,,0.6833333333333333
v1_strict,VOICE_GENERATOR_V57,A12,20,20,20,20,,,0.0,,,,,,1.0
v1_strict,VOICE_GENERATOR_V57,A13,25,25,25,25,,,0.11666666666666665,,,,,,0.8833333333333332
v1_strict,VOICE_GENERATOR_V57,A14,25,25,25,25,,,0.31666666666666665,,,,,,0.6833333333333333
v1_strict,VOICE_GENERATOR_V57,A15,25,25,25,25,,,0.0,,,,,,1.0
v1_strict,VOICE_GENERATOR_V57,A16,20,20,20,20,,,0.19999999999999998,,,,,,0.8
v1_strict,VOICE_GENERATOR_V57,A17,20,20,20,20,,,0.4,,,,,,0.6
v1_strict,VOICE_GENERATOR_V57,A18,25,25,25,25,,,0.19999999999999998,,,,,,0.8
v1_strict,VOICE_GENERATOR_V57,A19,25,25,25,25,,,0.11666666666666665,,,,,,0.8833333333333332
v1_strict,VOICE_GENERATOR_V57,ASVspoof2019-LA,800,800,800,800,,,0.08750000000000001,,,,,,0.9125
