ROUTE,NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
hard,0.2,0.15,0.20763636363636362,0.7876103896103896,0.20763636363636362,0.7944675324675325,0.11585714285714288,0.8713214285714286,0.14877717391304346,0.8616463592800374,0.0,0.0,0.017071428571428626,-0.026494565217391353,-0.026494565217391353,-0.003141045548654242
soft,0.2,0.25,0.20763636363636362,0.7876103896103896,0.2229090909090909,0.7868311688311689,0.1017142857142857,0.8783928571428572,0.14877717391304346,0.8616463592800374,0.0,-0.007636363636363663,0.024142857142857244,-0.026494565217391353,-0.026494565217391353,-0.003329357236965924
hard,0.2,0.25,0.20763636363636362,0.7876103896103896,0.2229090909090909,0.7868311688311689,0.1017142857142857,0.8783928571428572,0.14877717391304346,0.8616463592800374,0.0,-0.007636363636363663,0.024142857142857244,-0.026494565217391353,-0.026494565217391353,-0.003329357236965924
soft,0.2,0.125,0.20763636363636362,0.7876103896103896,0.20945454545454545,0.7935584415584416,0.11828571428571427,0.8701071428571427,0.14877717391304346,0.8616463592800374,0.0,-0.0009090909090909705,0.015857142857142792,-0.026494565217391353,-0.026494565217391353,-0.0038488377564465104
hard,0.2,0.125,0.20763636363636362,0.7876103896103896,0.20945454545454545,0.7935584415584416,0.11828571428571427,0.8701071428571427,0.14877717391304346,0.8616463592800374,0.0,-0.0009090909090909705,0.015857142857142792,-0.026494565217391353,-0.026494565217391353,-0.0038488377564465104
soft,0.2,0.075,0.20763636363636362,0.7876103896103896,0.21527272727272728,0.7906493506493506,0.12585714285714283,0.8663214285714285,0.14877717391304346,0.8616463592800374,0.0,-0.0038181818181819427,0.01207142857142851,-0.026494565217391353,-0.026494565217391353,-0.0060804394880482615
soft,0.2,0.1,0.20763636363636362,0.7876103896103896,0.21527272727272728,0.7906493506493506,0.12585714285714283,0.8663214285714285,0.14877717391304346,0.8616463592800374,0.0,-0.0038181818181819427,0.01207142857142851,-0.026494565217391353,-0.026494565217391353,-0.0060804394880482615
hard,0.2,0.075,0.20763636363636362,0.7876103896103896,0.21527272727272728,0.7906493506493506,0.12585714285714283,0.8663214285714285,0.14877717391304346,0.8616463592800374,0.0,-0.0038181818181819427,0.01207142857142851,-0.026494565217391353,-0.026494565217391353,-0.0060804394880482615
hard,0.2,0.1,0.20763636363636362,0.7876103896103896,0.21527272727272728,0.7906493506493506,0.12585714285714283,0.8663214285714285,0.14877717391304346,0.8616463592800374,0.0,-0.0038181818181819427,0.01207142857142851,-0.026494565217391353,-0.026494565217391353,-0.0060804394880482615
soft,0.025,0.25,0.20945454545454545,0.7867012987012987,0.20763636363636362,0.7944675324675325,0.09828571428571427,0.8801071428571428,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0,0.0258571428571428,0.0,0.0,0.0086190476190476
hard,0.025,0.25,0.20945454545454545,0.7867012987012987,0.20763636363636362,0.7944675324675325,0.1017142857142857,0.8783928571428572,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0,0.024142857142857244,0.0,0.0,0.008047619047619081
soft,0.025,0.15,0.20945454545454545,0.7867012987012987,0.19999999999999998,0.7982857142857143,0.11585714285714288,0.8713214285714286,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0038181818181817206,0.017071428571428626,0.0,0.0,0.006963203463203449
hard,0.025,0.15,0.20945454545454545,0.7867012987012987,0.19999999999999998,0.7982857142857143,0.11585714285714288,0.8713214285714286,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0038181818181817206,0.017071428571428626,0.0,0.0,0.006963203463203449
soft,0.125,0.125,0.20945454545454545,0.7867012987012987,0.20763636363636362,0.7944675324675325,0.11828571428571427,0.8701071428571427,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0,0.015857142857142792,0.0,0.0,0.005285714285714264
hard,0.125,0.125,0.20945454545454545,0.7867012987012987,0.20763636363636362,0.7944675324675325,0.11828571428571427,0.8701071428571427,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0,0.015857142857142792,0.0,0.0,0.005285714285714264
soft,0.125,0.075,0.20945454545454545,0.7867012987012987,0.2018181818181818,0.7973766233766233,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.00290909090909075,0.01207142857142851,0.0,0.0,0.004993506493506421
hard,0.125,0.075,0.20945454545454545,0.7867012987012987,0.2018181818181818,0.7973766233766233,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.00290909090909075,0.01207142857142851,0.0,0.0,0.004993506493506421
soft,0.125,0.1,0.20945454545454545,0.7867012987012987,0.20763636363636362,0.7944675324675325,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0,0.01207142857142851,0.0,0.0,0.004023809523809503
hard,0.125,0.1,0.20945454545454545,0.7867012987012987,0.20763636363636362,0.7944675324675325,0.12585714285714283,0.8663214285714285,0.09578804347826086,0.8881409244974288,-0.0009090909090909705,0.0,0.01207142857142851,0.0,0.0,0.004023809523809503
