GROUP,VALUE,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
CHANNEL,stereo_wav,0.0,199,199,175,174,0.3663632119514473,0.3314393939393939,0.373546511627907,0.9928571428571429,0.9965517241379311,0.6384665617480255,0.994704433497537,0.6740903489229767
CHANNEL,stereo_wav,0.05,199,199,175,174,0.362686741363212,0.3314393939393939,0.3505549682875264,0.9928571428571429,0.9965517241379311,0.6472022600442573,0.994704433497537,0.6819524773895853
CHANNEL,stereo_wav,0.1,199,199,175,174,0.3473972922502334,0.3314393939393939,0.3390591966173362,0.9928571428571429,0.9965517241379311,0.6582957161018037,0.994704433497537,0.6919365878413771
CHANNEL,stereo_wav,0.15,199,199,175,174,0.3357843137254902,0.3314393939393939,0.3390591966173362,0.9928571428571429,0.9965517241379311,0.6641022053641752,0.994704433497537,0.6971624281775114
CHANNEL,stereo_wav,0.2,199,199,175,174,0.3473972922502334,0.3314393939393939,0.3390591966173362,0.9928571428571429,0.9965517241379311,0.6582957161018037,0.994704433497537,0.6919365878413771
CHANNEL,stereo_wav,0.25,199,199,175,174,0.3473972922502334,0.3314393939393939,0.3505549682875264,0.9928571428571429,0.9965517241379311,0.6548469846007465,0.994704433497537,0.6888327294904256
CHANNEL,stereo_wav,0.3,199,199,175,174,0.3473972922502334,0.3314393939393939,0.3620507399577167,0.9928571428571429,0.9965517241379311,0.6513982530996896,0.994704433497537,0.6857288711394743
CHANNEL,telephone_flac,0.0,201,201,175,176,0.38779299141332096,0.274294670846395,0.42612682422833525,0.9912087912087911,0.9820454545454544,0.6234065228555601,0.9866271228771228,0.6597285828577164
CHANNEL,telephone_flac,0.05,201,201,175,176,0.38779299141332096,0.274294670846395,0.42612682422833525,0.9912087912087911,0.9820454545454544,0.6234065228555601,0.9866271228771228,0.6597285828577164
CHANNEL,telephone_flac,0.1,201,201,175,176,0.38779299141332096,0.274294670846395,0.42612682422833525,0.9912087912087911,0.9820454545454544,0.6234065228555601,0.9866271228771228,0.6597285828577164
CHANNEL,telephone_flac,0.15,201,201,175,176,0.37253423067997216,0.274294670846395,0.40339661629859225,0.9912087912087911,0.9820454545454544,0.6378549656011573,0.9866271228771228,0.6727321813287539
CHANNEL,telephone_flac,0.2,201,201,175,176,0.3689371083778139,0.274294670846395,0.40339661629859225,0.9912087912087911,0.9820454545454544,0.6396535267522364,0.9866271228771228,0.6743508863647251
CHANNEL,telephone_flac,0.25,201,201,175,176,0.3689371083778139,0.274294670846395,0.3806664083688493,0.9912087912087911,0.9820454545454544,0.6464725891311593,0.9866271228771228,0.6804880425057557
CHANNEL,telephone_flac,0.3,201,201,175,176,0.3536783476444651,0.274294670846395,0.3693013044039778,0.9912087912087911,0.9820454545454544,0.6575115006872951,0.9866271228771228,0.690423062906278
MIX_MODE,concurrent,0.0,300,300,300,300,0.43999999999999995,0.3933333333333333,0.3466666666666667,,,0.5973333333333334,,
MIX_MODE,concurrent,0.05,300,300,300,300,0.4377777777777778,0.3933333333333333,0.33333333333333337,,,0.6024444444444444,,
MIX_MODE,concurrent,0.1,300,300,300,300,0.42666666666666664,0.3933333333333333,0.33333333333333337,,,0.608,,
MIX_MODE,concurrent,0.15,300,300,300,300,0.42666666666666664,0.3933333333333333,0.33333333333333337,,,0.608,,
