DATASET,GROUP,VALUE,TASK,MODEL,N,POS,EER,AUC
factorial,SNR_DB,nan,FILE,fused15,200,125,0.13466666666666666,0.93504
factorial,SNR_DB,nan,VOICE,v18,150,75,0.1333333333333333,0.9388444444444445
factorial,SNR_DB,nan,VOICE,patch,150,75,0.2666666666666667,0.8104888888888889
factorial,SNR_DB,nan,VOICE,fused05,150,75,0.1333333333333333,0.9388444444444445
factorial,SNR_DB,nan,VOICE,fused15,150,75,0.1333333333333333,0.9388444444444445
factorial,SNR_DB,nan,MUSIC,v18,150,75,0.2666666666666667,0.8284444444444445
factorial,SNR_DB,nan,MUSIC,patch,150,75,0.19999999999999998,0.8477333333333332
factorial,SNR_DB,nan,MUSIC,fused05,150,75,0.21333333333333337,0.8757333333333334
factorial,SNR_DB,nan,MUSIC,fused15,150,75,0.18666666666666665,0.9009777777777779
factorial,OVERLAP_FRACTION,0.25,FILE,v18,30,24,0.33333333333333337,0.7361111111111112
factorial,OVERLAP_FRACTION,0.25,FILE,patch,30,24,0.16666666666666663,0.8680555555555556
factorial,OVERLAP_FRACTION,0.25,FILE,fused05,30,24,0.33333333333333337,0.7777777777777778
factorial,OVERLAP_FRACTION,0.25,FILE,fused15,30,24,0.3125,0.8402777777777777
factorial,OVERLAP_FRACTION,0.25,VOICE,v18,30,16,0.20089285714285715,0.8839285714285714
factorial,OVERLAP_FRACTION,0.25,VOICE,patch,30,16,0.29910714285714285,0.78125
factorial,OVERLAP_FRACTION,0.25,VOICE,fused05,30,16,0.20089285714285715,0.8839285714285714
factorial,OVERLAP_FRACTION,0.25,VOICE,fused15,30,16,0.20089285714285715,0.8839285714285714
factorial,OVERLAP_FRACTION,0.25,MUSIC,v18,30,17,0.36877828054298645,0.7873303167420814
factorial,OVERLAP_FRACTION,0.25,MUSIC,patch,30,17,0.165158371040724,0.9411764705882353
factorial,OVERLAP_FRACTION,0.25,MUSIC,fused05,30,17,0.3009049773755656,0.8687782805429864
