DATASET,CELL,TASK,MODEL,N,LABEL_MEAN,GLOBAL_EER_THRESHOLD,ERROR_RATE,SCORE_Q10,SCORE_MEDIAN,SCORE_Q90
factorial,sequential__voice_real__music_real,MUSIC,fused05,25,0.0,0.4865710508170826,0.44,0.2120556173099135,0.41215096224056563,0.6831162306649441
factorial,concurrent__voice_fake__music_fake,FILE,fused15,25,1.0,0.8131141932582714,0.2,0.6212957200286583,0.8966675734223957,0.9838570169579429
factorial,concurrent__voice_fake__music_real,FILE,fused15,25,1.0,0.8131141932582714,0.84,0.15271261847372777,0.4576962449359766,0.8485502071744765
factorial,concurrent__voice_real__music_fake,FILE,fused15,25,1.0,0.8131141932582714,0.52,0.365526493729318,0.7937582633305272,0.9369609998703601
factorial,concurrent__voice_real__music_real,FILE,fused15,25,0.0,0.8131141932582714,0.2,0.14450329611559076,0.46226548087086716,0.8483179937777194
factorial,music_only__music_fake,FILE,fused15,25,1.0,0.8131141932582714,0.24,0.5591752692576663,0.9398164183809028,0.9666671940437432
factorial,music_only__music_real,FILE,fused15,25,0.0,0.8131141932582714,0.16,0.12240969845730207,0.42770492796790405,0.853260029467344
factorial,partial_overlap__voice_fake__music_fake,FILE,fused15,25,1.0,0.8131141932582714,0.2,0.7566852308825431,0.9621806137017034,0.9917347318832099
factorial,partial_overlap__voice_fake__music_real,FILE,fused15,25,1.0,0.8131141932582714,0.2,0.7301139225915089,0.9280905359659226,0.9743533249262591
factorial,partial_overlap__voice_real__music_fake,FILE,fused15,25,1.0,0.8131141932582714,0.04,0.8627458482425795,0.9403192193633816,0.9791056610284902
factorial,partial_overlap__voice_real__music_real,FILE,fused15,25,0.0,0.8131141932582714,0.28,0.29850093197778976,0.7209978709345681,0.925644363486414
factorial,sequential__voice_fake__music_fake,FILE,fused15,25,1.0,0.8131141932582714,0.0,0.9260964494845604,0.9865336200883948,0.9965002838438883
factorial,sequential__voice_fake__music_real,FILE,fused15,25,1.0,0.8131141932582714,0.12,0.794571604688519,0.9459650708514459,0.9868289660732354
factorial,sequential__voice_real__music_fake,FILE,fused15,25,1.0,0.8131141932582714,0.12,0.8114618831369887,0.937351435365708,0.9756168932115159
factorial,sequential__voice_real__music_real,FILE,fused15,25,0.0,0.8131141932582714,0.52,0.4296375324198459,0.8192149715447783,0.932983144551703
factorial,voice_only__voice_fake,FILE,fused15,25,1.0,0.8131141932582714,0.04,0.9428038312453609,0.9898073731517415,0.9994805764583512
factorial,voice_only__voice_real,FILE,fused15,25,0.0,0.8131141932582714,0.0,0.004554347260717853,0.13107470170034405,0.4420838373412243
