FILE_W,VOICE_W,dev_FILE_EER,dev_VOICE_EER,dev_ADS,factorial_FILE_EER,factorial_VOICE_EER,factorial_ADS,phone_FILE_EER,phone_VOICE_EER,phone_ADS,yue_FILE_EER,yue_VOICE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA,DEV_THEN_AUDIT_RANK
0.125,0.2,0.2229090909090909,0.26857142857142857,0.779974025974026,0.20945454545454545,0.21714285714285717,0.79012987012987,0.12828571428571428,0.10999999999999999,0.8726071428571429,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.007636363636363663,-0.004337662337662529,0.01835714285714296,-0.005416666666666736,-0.005416666666666736,0.0028676046176045653,550020.0
0.075,0.25,0.2229090909090909,0.26857142857142857,0.779974025974026,0.20763636363636362,0.22857142857142854,0.7887532467532468,0.12828571428571428,0.10750000000000001,0.8731071428571429,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.007636363636363663,-0.005714285714285783,0.018857142857142906,-0.005416666666666736,-0.005714285714285783,0.0025753968253967954,550034.0
0.125,0.25,0.2229090909090909,0.26857142857142857,0.779974025974026,0.20945454545454545,0.22857142857142854,0.7878441558441558,0.12828571428571428,0.10750000000000001,0.8731071428571429,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.007636363636363663,-0.006623376623376753,0.018857142857142906,-0.005416666666666736,-0.006623376623376753,0.002272366522366472,550044.0
0.1,0.2,0.2229090909090909,0.26857142857142857,0.779974025974026,0.21527272727272728,0.21714285714285717,0.7872207792207793,0.13,0.10999999999999999,0.87175,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.007636363636363663,-0.007246753246753279,0.01750000000000007,-0.005416666666666736,-0.007246753246753279,0.001612193362193352,550051.0
0.1,0.25,0.2229090909090909,0.26857142857142857,0.779974025974026,0.21527272727272728,0.22857142857142854,0.7849350649350648,0.13,0.10750000000000001,0.87225,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.007636363636363663,-0.009532467532467725,0.018000000000000016,-0.005416666666666736,-0.009532467532467725,0.0010169552669551847,550060.0
0.075,0.025,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.20763636363636362,0.2114285714285714,0.7921818181818181,0.12828571428571428,0.14749999999999996,0.8651071428571429,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.008779220779220887,-0.0022857142857144463,0.010857142857142899,0.0,-0.0022857142857144463,0.0028571428571428172,640008.0
0.125,0.025,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.20945454545454545,0.2114285714285714,0.7912727272727273,0.12828571428571428,0.14749999999999996,0.8651071428571429,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.008779220779220887,-0.0031948051948051948,0.010857142857142899,0.0,-0.0031948051948051948,0.0025541125541125678,640013.0
0.075,0.1,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.20763636363636362,0.22857142857142854,0.7887532467532468,0.12828571428571428,0.135,0.8676071428571428,0.09578804347826086,0.12083333333333335,0.8843909244974287,-0.008779220779220887,-0.005714285714285783,0.013357142857142845,-0.003750000000000031,-0.005714285714285783,0.0012976190476190104,640034.0
0.075,0.125,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.20763636363636362,0.22857142857142854,0.7887532467532468,0.12828571428571428,0.13,0.8686071428571429,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.008779220779220887,-0.005714285714285783,0.014357142857142957,-0.005416666666666736,-0.005714285714285783,0.0010753968253968127,640034.0
0.1,0.025,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.21527272727272728,0.2114285714285714,0.7883636363636364,0.13,0.14749999999999996,0.86425,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.008779220779220887,-0.006103896103896167,0.010000000000000009,0.0,-0.006103896103896167,0.0012987012987012807,640043.0
0.125,0.1,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.20945454545454545,0.22857142857142854,0.7878441558441558,0.12828571428571428,0.135,0.8676071428571428,0.09578804347826086,0.12083333333333335,0.8843909244974287,-0.008779220779220887,-0.006623376623376753,0.013357142857142845,-0.003750000000000031,-0.006623376623376753,0.000994588744588687,640044.0
0.125,0.125,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.20945454545454545,0.22857142857142854,0.7878441558441558,0.12828571428571428,0.13,0.8686071428571429,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.008779220779220887,-0.006623376623376753,0.014357142857142957,-0.005416666666666736,-0.006623376623376753,0.0007723665223664892,640044.0
0.1,0.1,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.21527272727272728,0.22857142857142854,0.7849350649350648,0.13,0.135,0.8667499999999999,0.09578804347826086,0.12083333333333335,0.8843909244974287,-0.008779220779220887,-0.009532467532467725,0.012499999999999956,-0.003750000000000031,-0.009532467532467725,-0.00026082251082260033,640060.0
0.1,0.125,0.2229090909090909,0.27428571428571424,0.7788311688311688,0.21527272727272728,0.22857142857142854,0.7849350649350648,0.13,0.13,0.86775,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.008779220779220887,-0.009532467532467725,0.013500000000000068,-0.005416666666666736,-0.009532467532467725,-0.00048304473304479806,640060.0
0.075,0.05,0.2229090909090909,0.28,0.7776883116883117,0.20763636363636362,0.22285714285714286,0.7898961038961039,0.12828571428571428,0.14249999999999996,0.8661071428571427,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.009922077922077999,-0.004571428571428671,0.011857142857142788,0.0,-0.004571428571428671,0.0024285714285713724,730017.0
0.075,0.15,0.2229090909090909,0.28,0.7776883116883117,0.20763636363636362,0.21714285714285717,0.791038961038961,0.12828571428571428,0.12,0.8706071428571429,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.009922077922077999,-0.0034285714285715585,0.01635714285714296,-0.005416666666666736,-0.005416666666666736,0.0025039682539682215,730020.0
