DATASET,HEAD,TARGET,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,seed09,FILE,0.025,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
factorial,seed09,FILE,0.05,400,400,350,350,0.21527272727272728,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7860779220779222,0.9958571428571428,0.8070558441558442
factorial,seed09,FILE,0.075,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
factorial,seed09,FILE,0.1,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
factorial,seed09,FILE,0.15,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
factorial,seed09,FILE,0.2,400,400,350,350,0.2229090909090909,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7822597402597402,0.9958571428571428,0.8036194805194805
factorial,seed09,VOICE,0.0,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,seed09,VOICE,0.01,400,400,350,350,0.21709090909090906,0.22857142857142854,0.20571428571428574,0.9928,0.9989142857142856,0.7840259740259741,0.9958571428571428,0.805209090909091
factorial,seed09,VOICE,0.025,400,400,350,350,0.21709090909090906,0.22857142857142854,0.20571428571428574,0.9928,0.9989142857142856,0.7840259740259741,0.9958571428571428,0.805209090909091
factorial,seed09,VOICE,0.05,400,400,350,350,0.21709090909090906,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7863116883116883,0.9958571428571428,0.8072662337662337
factorial,seed09,VOICE,0.075,400,400,350,350,0.21709090909090906,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7863116883116883,0.9958571428571428,0.8072662337662337
factorial,seed09,VOICE,0.1,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,seed09,VOICE,0.15,400,400,350,350,0.21709090909090906,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7874545454545454,0.9958571428571428,0.8082948051948051
factorial,seed09,VOICE,0.2,400,400,350,350,0.21709090909090906,0.20571428571428574,0.20571428571428574,0.9928,0.9989142857142856,0.7885974025974025,0.9958571428571428,0.8093233766233766
factorial,seed09,MUSIC,0.0,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,seed09,MUSIC,0.01,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,seed09,MUSIC,0.025,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,seed09,MUSIC,0.05,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,seed09,MUSIC,0.075,400,400,350,350,0.21709090909090906,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7834545454545455,0.9958571428571428,0.8046948051948053
factorial,seed09,MUSIC,0.1,400,400,350,350,0.21709090909090906,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7834545454545455,0.9958571428571428,0.8046948051948053
factorial,seed09,MUSIC,0.15,400,400,350,350,0.21709090909090906,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7817402597402598,0.9958571428571428,0.8031519480519481
factorial,seed09,MUSIC,0.2,400,400,350,350,0.21709090909090906,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7817402597402598,0.9958571428571428,0.8031519480519481
factorial,seed09,ALL,0.0,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,seed09,ALL,0.01,400,400,350,350,0.22472727272727272,0.22857142857142854,0.20571428571428574,0.9928,0.9989142857142856,0.7802077922077921,0.9958571428571428,0.8017727272727272
factorial,seed09,ALL,0.025,400,400,350,350,0.22472727272727272,0.22857142857142854,0.20571428571428574,0.9928,0.9989142857142856,0.7802077922077921,0.9958571428571428,0.8017727272727272
