ROUTE,FILE_NONPHONE_W,FILE_PHONE_W,VOICE_NONPHONE_W,VOICE_PHONE_W,dev,factorial,phone,yue,factorial_plus_phone,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,factorial_plus_phone_DELTA,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
soft,0.225,0.4,0.2,0.2,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8391817168338908,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.006185507246376787,0.0,0.0025795454545454177
soft,0.225,0.4,0.2,0.225,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0025795454545454177
soft,0.225,0.4,0.2,0.25,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8402251950947603,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.007228985507246377,0.0,0.0025795454545454177
soft,0.225,0.4,0.2,0.275,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8405730211817168,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.00757681159420287,0.0,0.0025795454545454177
soft,0.225,0.4,0.25,0.2,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.0025795454545454177
hard,0.25,0.35,0.225,0.225,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8351304347826087,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0021342251950947633,0.0,0.002495129870129814
hard,0.25,0.35,0.225,0.25,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.002495129870129814
hard,0.25,0.35,0.25,0.225,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.002495129870129814
hard,0.25,0.35,0.25,0.25,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.002495129870129814
hard,0.25,0.35,0.25,0.275,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8358260869565217,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0028298773690077494,0.0,0.002495129870129814
hard,0.25,0.35,0.275,0.225,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8351304347826087,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0021342251950947633,0.0,0.002495129870129814
hard,0.25,0.35,0.275,0.25,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8358260869565217,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0028298773690077494,0.0,0.002495129870129814
hard,0.25,0.35,0.275,0.275,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8358260869565217,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0028298773690077494,0.0,0.002495129870129814
soft,0.25,0.35,0.225,0.225,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8351304347826087,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0021342251950947633,0.0,0.002495129870129814
soft,0.25,0.35,0.225,0.25,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.002495129870129814
soft,0.25,0.35,0.25,0.225,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.002495129870129814
soft,0.25,0.35,0.25,0.25,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8354782608695652,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0024820512820512564,0.0,0.002495129870129814
soft,0.25,0.35,0.25,0.275,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8358260869565217,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0028298773690077494,0.0,0.002495129870129814
soft,0.25,0.35,0.275,0.225,0.7916623376623376,0.7933246753246752,0.8603214285714285,0.8881409244974288,0.8351304347826087,0.002909090909090861,0.0,0.007071428571428395,0.0,0.0021342251950947633,0.0,0.002495129870129814
