DATASET,MUSIC_WEIGHT,FILE_RATIO,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
yue,0.0,0.0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.0,0.5,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.1,0.0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8757461138382421,,
yue,0.1,0.5,124,124,108,124,0.10122282608695654,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8757461138382421,,
yue,0.2,0.0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.2,0.5,124,124,108,124,0.09578804347826086,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8833022148200094,,
yue,0.3,0.0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.3,0.5,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.4,0.0,124,124,108,124,0.12228260869565216,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8748936418887331,,
yue,0.4,0.5,124,124,108,124,0.12228260869565216,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8748936418887331,,
yue,0.5,0.0,124,124,108,124,0.12228260869565216,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8748936418887331,,
yue,0.5,0.5,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
yue,0.6,0.0,124,124,108,124,0.12228260869565216,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8797323515661524,,
yue,0.6,0.5,124,124,108,124,0.12228260869565216,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8797323515661524,,
yue,0.7,0.0,124,124,108,124,0.12228260869565216,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8797323515661524,,
yue,0.7,0.5,124,124,108,124,0.12228260869565216,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8797323515661524,,
