NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
0.125,0.05,0.26472727272727276,0.717922077922078,0.24,0.7531428571428572,0.22242857142857142,0.7517857142857143,0.18070652173913043,0.8311655563347359,0.020000000000000018,0.007636363636363663,0.017928571428571405,0.0027173913043478937,0.0027173913043478937,0.00942744212309432
0.15,0.025,0.26472727272727276,0.717922077922078,0.23236363636363638,0.7569610389610391,0.24414285714285716,0.7409285714285714,0.18070652173913043,0.8311655563347359,0.020000000000000018,0.011454545454545495,0.007071428571428506,0.0027173913043478937,0.0027173913043478937,0.007081121776773965
0.15,0.0,0.26472727272727276,0.717922077922078,0.23236363636363638,0.7569610389610391,0.2582857142857143,0.7338571428571429,0.18070652173913043,0.8311655563347359,0.020000000000000018,0.011454545454545495,0.0,0.0027173913043478937,0.0,0.004723978919631129
0.1,0.25,0.27054545454545453,0.715012987012987,0.24763636363636365,0.7493246753246754,0.1782857142857143,0.7738571428571429,0.15964673913043476,0.8416954476390837,0.017090909090909046,0.0038181818181818317,0.040000000000000036,0.013247282608695676,0.0038181818181818317,0.01902182147562585
0.1,0.15,0.27054545454545453,0.715012987012987,0.24763636363636365,0.7493246753246754,0.18757142857142858,0.7692142857142857,0.15964673913043476,0.8416954476390837,0.017090909090909046,0.0038181818181818317,0.035357142857142865,0.013247282608695676,0.0038181818181818317,0.01747420242800679
0.1,0.025,0.27054545454545453,0.715012987012987,0.25527272727272726,0.7455064935064936,0.24414285714285716,0.7409285714285714,0.15964673913043476,0.8416954476390837,0.017090909090909046,0.0,0.007071428571428506,0.013247282608695676,0.0,0.006772903726708061
0.1,0.0,0.27054545454545453,0.715012987012987,0.25527272727272726,0.7455064935064936,0.2582857142857143,0.7338571428571429,0.15964673913043476,0.8416954476390837,0.017090909090909046,0.0,0.0,0.013247282608695676,0.0,0.004415760869565226
0.1,0.1,0.27236363636363636,0.7141038961038961,0.24181818181818182,0.7522337662337663,0.19414285714285714,0.7659285714285714,0.15964673913043476,0.8416954476390837,0.016181818181818186,0.006727272727272693,0.03207142857142853,0.013247282608695676,0.006727272727272693,0.017348661302465634
0.1,0.2,0.27236363636363636,0.7141038961038961,0.24763636363636365,0.7493246753246754,0.1824285714285714,0.7717857142857143,0.15964673913043476,0.8416954476390837,0.016181818181818186,0.0038181818181818317,0.03792857142857142,0.013247282608695676,0.0038181818181818317,0.018331345285149642
0.1,0.125,0.27236363636363636,0.7141038961038961,0.24763636363636365,0.7493246753246754,0.18999999999999997,0.768,0.15964673913043476,0.8416954476390837,0.016181818181818186,0.0038181818181818317,0.03414285714285714,0.013247282608695676,0.0038181818181818317,0.017069440523244883
0.1,0.075,0.27236363636363636,0.7141038961038961,0.24763636363636365,0.7493246753246754,0.20585714285714285,0.7600714285714286,0.15964673913043476,0.8416954476390837,0.016181818181818186,0.0038181818181818317,0.026214285714285745,0.013247282608695676,0.0038181818181818317,0.01442658338038775
0.1,0.05,0.27236363636363636,0.7141038961038961,0.24763636363636365,0.7493246753246754,0.22242857142857142,0.7517857142857143,0.15964673913043476,0.8416954476390837,0.016181818181818186,0.0038181818181818317,0.017928571428571405,0.013247282608695676,0.0038181818181818317,0.011664678618482971
0.075,0.25,0.27236363636363636,0.7141038961038961,0.25527272727272726,0.7455064935064936,0.1782857142857143,0.7738571428571429,0.14877717391304346,0.8471302302477793,0.016181818181818186,0.0,0.040000000000000036,0.018682065217391353,0.0,0.019560688405797128
0.075,0.2,0.27236363636363636,0.7141038961038961,0.25527272727272726,0.7455064935064936,0.1824285714285714,0.7717857142857143,0.14877717391304346,0.8471302302477793,0.016181818181818186,0.0,0.03792857142857142,0.018682065217391353,0.0,0.018870212215320925
0.075,0.15,0.27236363636363636,0.7141038961038961,0.25527272727272726,0.7455064935064936,0.18757142857142858,0.7692142857142857,0.14877717391304346,0.8471302302477793,0.016181818181818186,0.0,0.035357142857142865,0.018682065217391353,0.0,0.018013069358178074
0.075,0.125,0.27236363636363636,0.7141038961038961,0.25527272727272726,0.7455064935064936,0.18999999999999997,0.768,0.14877717391304346,0.8471302302477793,0.016181818181818186,0.0,0.03414285714285714,0.018682065217391353,0.0,0.017608307453416166
0.075,0.1,0.28,0.7102857142857143,0.24945454545454543,0.7484155844155845,0.19414285714285714,0.7659285714285714,0.14877717391304346,0.8471302302477793,0.012363636363636354,0.0029090909090909722,0.03207142857142853,0.018682065217391353,0.0029090909090909722,0.01788752823263695
0.075,0.075,0.28,0.7102857142857143,0.25527272727272726,0.7455064935064936,0.20585714285714285,0.7600714285714286,0.14877717391304346,0.8471302302477793,0.012363636363636354,0.0,0.026214285714285745,0.018682065217391353,0.0,0.014965450310559033
0.075,0.0,0.28,0.7102857142857143,0.25527272727272726,0.7455064935064936,0.2582857142857143,0.7338571428571429,0.14877717391304346,0.8471302302477793,0.012363636363636354,0.0,0.0,0.018682065217391353,0.0,0.0062273550724637845
0.05,0.2,0.28181818181818186,0.7093766233766233,0.24763636363636365,0.7493246753246754,0.1824285714285714,0.7717857142857143,0.14877717391304346,0.8471302302477793,0.011454545454545384,0.0038181818181818317,0.03792857142857142,0.018682065217391353,0.0038181818181818317,0.0201429394880482
0.05,0.15,0.28181818181818186,0.7093766233766233,0.24763636363636365,0.7493246753246754,0.18757142857142858,0.7692142857142857,0.14877717391304346,0.8471302302477793,0.011454545454545384,0.0038181818181818317,0.035357142857142865,0.018682065217391353,0.0038181818181818317,0.01928579663090535
0.05,0.125,0.28181818181818186,0.7093766233766233,0.24763636363636365,0.7493246753246754,0.18999999999999997,0.768,0.14877717391304346,0.8471302302477793,0.011454545454545384,0.0038181818181818317,0.03414285714285714,0.018682065217391353,0.0038181818181818317,0.018881034726143442
0.075,0.05,0.28181818181818186,0.7093766233766233,0.2570909090909091,0.7445974025974027,0.22242857142857142,0.7517857142857143,0.14877717391304346,0.8471302302477793,0.011454545454545384,-0.0009090909090908594,0.017928571428571405,0.018682065217391353,-0.0009090909090908594,0.011900515245623966
