STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_ADS,WORST_ADS,MIN_DELTA,MEAN_DELTA,MAX_MUSIC_EER,ROBUST_SELECTION
phone_soft_router,0.4,0.2,0.8333561457340385,0.7682077922077922,0.004838709677419395,0.008291474654377962,0.18285714285714283,1.6064026476192501
phone_hard_router,0.4,0.2,0.8333561457340385,0.7682077922077922,0.004838709677419395,0.008291474654377962,0.18285714285714283,1.6064026476192501
mixed_hard_router,0.5,0.4,0.8331775743054669,0.7699220779220779,0.004838709677419395,0.00811290322580649,0.17714285714285716,1.607938361904964
mixed_hard_router,0.15,0.4,0.8331061457340385,0.7682077922077922,0.004838709677419395,0.008041474654377953,0.18285714285714283,1.60615264761925
mixed_hard_router,0.4,0.15,0.8331061457340385,0.7682077922077922,0.004838709677419395,0.008041474654377953,0.18285714285714283,1.60615264761925
phone_soft_router,0.4,0.3,0.8331061457340385,0.7682077922077922,0.004838709677419395,0.008041474654377953,0.18285714285714283,1.60615264761925
phone_hard_router,0.4,0.3,0.8331061457340385,0.7682077922077922,0.004838709677419395,0.008041474654377953,0.18285714285714283,1.60615264761925
phone_hard_router,0.4,0.15,0.8330347171626099,0.7664935064935066,0.004838709677419395,0.007970046082949378,0.1885714285714286,1.604366933333536
fixed_soft_moe,0.4,0.4,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
phone_soft_router,0.1,0.4,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
phone_hard_router,0.1,0.4,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
phone_soft_router,0.4,0.25,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
phone_hard_router,0.4,0.25,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
phone_soft_router,0.4,0.4,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
phone_hard_router,0.4,0.4,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
mixed_hard_router,0.4,0.4,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
mixed_hard_router,0.5,0.15,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
mixed_hard_router,0.5,0.2,0.8328561457340385,0.7682077922077922,0.004838709677419395,0.007791474654377943,0.18285714285714283,1.6059026476192502
phone_soft_router,0.4,0.15,0.8327847171626099,0.7664935064935066,0.004838709677419395,0.0077200460829494055,0.1885714285714286,1.6041169333335359
