candidate,axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|voice|opus_nb_8k,20,20,20,0,0.0,0.0,,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|mixed|clean,200,200,200,200,0.18333333333333332,0.22999999999999998,0.18000000000000002,,,0.8083333333333333,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|mixed|g711_ulaw,200,200,200,200,0.21666666666666667,0.19999999999999998,0.21999999999999997,,,0.7856666666666667,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|mixed|opus_nb_8k,200,200,200,200,0.31999999999999995,0.25,0.43999999999999995,,,0.658,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|music|clean,20,20,0,20,0.0,,0.0,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|music|g711_ulaw,20,20,0,20,0.19999999999999998,,0.19999999999999998,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|music|opus_nb_8k,20,20,0,20,0.30000000000000004,,0.19999999999999998,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|voice|clean,20,20,20,0,0.0,0.0,,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|voice|g711_ulaw,20,20,20,0,0.0,0.0,,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,30|voice|opus_nb_8k,20,20,20,0,0.0,0.0,,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|mixed|clean,200,200,200,200,0.16000000000000003,0.16000000000000003,0.18000000000000002,,,0.834,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|mixed|g711_ulaw,200,200,200,200,0.19999999999999998,0.21999999999999997,0.18000000000000002,,,0.802,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|mixed|opus_nb_8k,200,200,200,200,0.30000000000000004,0.19999999999999998,0.33999999999999997,,,0.708,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|music|clean,20,20,0,20,0.0,,0.0,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|music|g711_ulaw,20,20,0,20,0.09999999999999999,,0.09999999999999999,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|music|opus_nb_8k,20,20,0,20,0.19999999999999998,,0.19999999999999998,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|voice|clean,20,20,20,0,0.0,0.0,,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,60|voice|g711_ulaw,20,20,20,0,0.0,0.09999999999999999,,,,,,
