MODEL,AXIS,GROUP,N,IDENTITY_FILE_EER,CANDIDATE_FILE_EER,DELTA_FILE_EER,IDENTITY_VOICE_EER,CANDIDATE_VOICE_EER,DELTA_VOICE_EER,IDENTITY_MUSIC_EER,CANDIDATE_MUSIC_EER,DELTA_MUSIC_EER,IDENTITY_ADS,CANDIDATE_ADS,DELTA_ADS,IDENTITY_CPS,CANDIDATE_CPS,DELTA_CPS,IDENTITY_NORMALIZED_AVAILABLE_ADS,CANDIDATE_NORMALIZED_AVAILABLE_ADS,DELTA_NORMALIZED_AVAILABLE_ADS
v1_strict__music_only,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.30000000000000004,0.0,0.31666666666666665,0.31666666666666665,0.0,0.41666666666666663,0.4,-0.016666666666666607,0.6616666666666667,0.6666666666666667,0.0050000000000000044,,,,0.6616666666666667,0.6666666666666667,0.0050000000000000044
v1_strict__file_only,CHANNEL,clean,120,0.09999999999999999,0.09999999999999999,0.0,0.11666666666666668,0.11666666666666668,0.0,0.09999999999999999,0.09999999999999999,0.0,0.8966666666666667,0.8966666666666667,0.0,,,,0.8966666666666667,0.8966666666666667,0.0
v1_strict__file_only,CHANNEL,g711_ulaw,120,0.19999999999999998,0.17222222222222222,-0.027777777777777762,0.09999999999999999,0.09999999999999999,0.0,0.25,0.25,0.0,0.805,0.8188888888888889,0.01388888888888884,,,,0.805,0.8188888888888889,0.01388888888888884
v1_strict__file_only,CHANNEL,g722_wb,120,0.16666666666666663,0.16666666666666663,0.0,0.09999999999999999,0.09999999999999999,0.0,0.09999999999999999,0.09999999999999999,0.0,0.8666666666666667,0.8666666666666667,0.0,,,,0.8666666666666667,0.8666666666666667,0.0
v1_strict__file_only,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.33333333333333337,0.0,0.35,0.35,0.0,0.35,0.35,0.0,0.6583333333333333,0.6583333333333333,0.0,,,,0.6583333333333333,0.6583333333333333,0.0
v1_strict__file_only,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.3277777777777777,0.02777777777777768,0.31666666666666665,0.31666666666666665,0.0,0.41666666666666663,0.41666666666666663,0.0,0.6616666666666667,0.6477777777777779,-0.01388888888888884,,,,0.6616666666666667,0.6477777777777779,-0.01388888888888884
v2_strict__full,CHANNEL,clean,120,0.09999999999999999,0.09999999999999999,0.0,0.11666666666666668,0.1333333333333333,0.01666666666666662,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.8966666666666667,0.8883333333333332,-0.008333333333333526,,,,0.8966666666666667,0.8883333333333332,-0.008333333333333526
v2_strict__full,CHANNEL,g711_ulaw,120,0.19999999999999998,0.19999999999999998,0.0,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.25,0.19999999999999998,-0.05000000000000002,0.805,0.8166666666666667,0.011666666666666603,,,,0.805,0.8166666666666667,0.011666666666666603
v2_strict__full,CHANNEL,g722_wb,120,0.16666666666666663,0.12777777777777777,-0.03888888888888886,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.09999999999999999,0.08333333333333334,-0.01666666666666665,0.8666666666666667,0.8877777777777778,0.02111111111111108,,,,0.8666666666666667,0.8877777777777778,0.02111111111111108
v2_strict__full,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.4277777777777778,0.09444444444444444,0.35,0.3666666666666667,0.01666666666666672,0.35,0.3666666666666667,0.01666666666666672,0.6583333333333333,0.6027777777777777,-0.05555555555555558,,,,0.6583333333333333,0.6027777777777777,-0.05555555555555558
