BANK,MODEL,AXIS,GROUP,N,FILE_EER,VOICE_EER
fixed,candidate,DURATION|CHANNEL,45|g711_ulaw,240,0.41666666666666663,0.42500000000000004
fixed,candidate,DURATION|CHANNEL,45|opus_nb_8k,240,0.44166666666666665,0.44166666666666665
fixed,candidate,DURATION|CHANNEL,60|clean,240,0.42500000000000004,0.43333333333333335
fixed,candidate,DURATION|CHANNEL,60|g711_ulaw,240,0.42500000000000004,0.43333333333333335
fixed,candidate,DURATION|CHANNEL,60|opus_nb_8k,240,0.43333333333333335,0.43333333333333335
fixed,candidate,DURATION|RECORDING|CHANNEL,30|direct|clean,120,0.30000000000000004,0.35
fixed,candidate,DURATION|RECORDING|CHANNEL,30|direct|g711_ulaw,120,0.3833333333333333,0.3833333333333333
fixed,candidate,DURATION|RECORDING|CHANNEL,30|direct|opus_nb_8k,120,0.4,0.4
fixed,candidate,DURATION|RECORDING|CHANNEL,30|replay|clean,120,0.41666666666666663,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,30|replay|g711_ulaw,120,0.41666666666666663,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,30|replay|opus_nb_8k,120,0.41666666666666663,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,45|direct|clean,120,0.33333333333333337,0.35
fixed,candidate,DURATION|RECORDING|CHANNEL,45|direct|g711_ulaw,120,0.4,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,45|direct|opus_nb_8k,120,0.41666666666666663,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,45|replay|clean,120,0.43333333333333335,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,45|replay|g711_ulaw,120,0.43333333333333335,0.43333333333333335
fixed,candidate,DURATION|RECORDING|CHANNEL,45|replay|opus_nb_8k,120,0.44999999999999996,0.44999999999999996
fixed,candidate,DURATION|RECORDING|CHANNEL,60|direct|clean,120,0.3833333333333333,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,60|direct|g711_ulaw,120,0.41666666666666663,0.41666666666666663
fixed,candidate,DURATION|RECORDING|CHANNEL,60|direct|opus_nb_8k,120,0.43333333333333335,0.43333333333333335
fixed,candidate,DURATION|RECORDING|CHANNEL,60|replay|clean,120,0.44999999999999996,0.43333333333333335
fixed,candidate,DURATION|RECORDING|CHANNEL,60|replay|g711_ulaw,120,0.44999999999999996,0.44999999999999996
fixed,candidate,DURATION|RECORDING|CHANNEL,60|replay|opus_nb_8k,120,0.44999999999999996,0.44999999999999996
