BANK,AXIS,GROUP,N,FILE_EER_anchor,VOICE_EER_anchor,FILE_EER_candidate,VOICE_EER_candidate,FILE_EER_delta,VOICE_EER_delta
fixed,DURATION|RECORDING|CHANNEL,30|replay|clean,120,0.25,0.3666666666666667,0.41666666666666663,0.41666666666666663,0.16666666666666663,0.04999999999999993
fixed,DURATION|RECORDING|CHANNEL,30|replay|g711_ulaw,120,0.30000000000000004,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.11666666666666659,0.0
fixed,DURATION|RECORDING|CHANNEL,30|replay|opus_nb_8k,120,0.4,0.4833333333333333,0.41666666666666663,0.41666666666666663,0.016666666666666607,-0.06666666666666665
fixed,DURATION|RECORDING|CHANNEL,45|direct|clean,120,0.1333333333333333,0.2333333333333333,0.33333333333333337,0.35,0.20000000000000007,0.11666666666666667
fixed,DURATION|RECORDING|CHANNEL,45|direct|g711_ulaw,120,0.15000000000000002,0.2666666666666667,0.4,0.41666666666666663,0.25,0.1499999999999999
fixed,DURATION|RECORDING|CHANNEL,45|direct|opus_nb_8k,120,0.2833333333333333,0.4666666666666667,0.41666666666666663,0.41666666666666663,0.1333333333333333,-0.050000000000000044
fixed,DURATION|RECORDING|CHANNEL,45|replay|clean,120,0.25,0.3666666666666667,0.43333333333333335,0.41666666666666663,0.18333333333333335,0.04999999999999993
fixed,DURATION|RECORDING|CHANNEL,45|replay|g711_ulaw,120,0.31666666666666665,0.4,0.43333333333333335,0.43333333333333335,0.1166666666666667,0.033333333333333326
fixed,DURATION|RECORDING|CHANNEL,45|replay|opus_nb_8k,120,0.44999999999999996,0.5,0.44999999999999996,0.44999999999999996,0.0,-0.050000000000000044
fixed,DURATION|RECORDING|CHANNEL,60|direct|clean,120,0.11666666666666668,0.19999999999999998,0.3833333333333333,0.41666666666666663,0.2666666666666666,0.21666666666666665
fixed,DURATION|RECORDING|CHANNEL,60|direct|g711_ulaw,120,0.16666666666666663,0.2833333333333333,0.41666666666666663,0.41666666666666663,0.25,0.1333333333333333
fixed,DURATION|RECORDING|CHANNEL,60|direct|opus_nb_8k,120,0.2333333333333333,0.44999999999999996,0.43333333333333335,0.43333333333333335,0.20000000000000004,-0.016666666666666607
fixed,DURATION|RECORDING|CHANNEL,60|replay|clean,120,0.25,0.35,0.44999999999999996,0.43333333333333335,0.19999999999999996,0.08333333333333337
fixed,DURATION|RECORDING|CHANNEL,60|replay|g711_ulaw,120,0.33333333333333337,0.43333333333333335,0.44999999999999996,0.44999999999999996,0.11666666666666659,0.016666666666666607
fixed,DURATION|RECORDING|CHANNEL,60|replay|opus_nb_8k,120,0.41666666666666663,0.4833333333333333,0.44999999999999996,0.44999999999999996,0.033333333333333326,-0.033333333333333326
