TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_external_mixed_v1,EER_factorial_eval_1200_v2_dev_bank,EER_source_disjoint_mixed_equal_v1,EER_source_disjoint_mixed_v1
MUSIC,probability,0.025,0.6461607142857142,0.0,0.33499999999999996,0.3771428571428571,0.28,0.32999999999999996
MUSIC,probability,0.05,0.6654464285714285,-0.010000000000000009,0.31499999999999995,0.3542857142857143,0.27,0.31999999999999995
MUSIC,probability,0.075,0.6740178571428571,-0.010000000000000009,0.29500000000000004,0.34857142857142853,0.27,0.30000000000000004
MUSIC,probability,0.1,0.6765178571428572,-0.010000000000000009,0.28500000000000003,0.34857142857142853,0.27,0.29000000000000004
MUSIC,probability,0.15,0.6899107142857142,-0.020000000000000018,0.265,0.3371428571428572,0.26,0.27
MUSIC,probability,0.2,0.7001785714285714,-0.020000000000000018,0.24,0.32571428571428573,0.26,0.27
MUSIC,probability,0.25,0.7093750000000001,-0.020000000000000018,0.21499999999999997,0.31999999999999995,0.26,0.25
MUSIC,probability,0.3,0.7204464285714286,-0.050000000000000044,0.20499999999999996,0.3142857142857143,0.22999999999999998,0.22999999999999998
MUSIC,probability,0.4,0.7630357142857143,-0.040000000000000036,0.16000000000000003,0.2571428571428571,0.24,0.20999999999999996
MUSIC,probability,0.5,0.7885714285714285,-0.08000000000000004,0.15000000000000002,0.23428571428571432,0.19999999999999998,0.17000000000000004
MUSIC,logit,0.0,0.6407142857142857,0.0,0.33999999999999997,0.3828571428571429,0.28,0.33999999999999997
MUSIC,logit,0.025,0.669375,-0.010000000000000009,0.28500000000000003,0.36,0.27,0.29000000000000004
MUSIC,logit,0.05,0.6835714285714285,-0.020000000000000018,0.22999999999999998,0.3542857142857143,0.26,0.27
MUSIC,logit,0.075,0.7000892857142857,-0.040000000000000036,0.20499999999999996,0.34285714285714286,0.24,0.24
MUSIC,logit,0.1,0.7061607142857143,-0.04571428571428571,0.20499999999999996,0.3371428571428572,0.22999999999999998,0.22999999999999998
MUSIC,logit,0.15,0.728125,-0.06000000000000005,0.16500000000000004,0.31999999999999995,0.21999999999999997,0.18999999999999997
MUSIC,logit,0.2,0.7474107142857143,-0.08000000000000004,0.15500000000000003,0.29714285714285715,0.19999999999999998,0.18000000000000002
MUSIC,logit,0.25,0.76125,-0.08000000000000004,0.15000000000000002,0.28,0.19999999999999998,0.16000000000000003
MUSIC,logit,0.3,0.7721428571428571,-0.09000000000000005,0.14,0.26857142857142857,0.18999999999999997,0.15000000000000002
MUSIC,logit,0.4,0.7883035714285714,-0.1,0.14500000000000002,0.2457142857142857,0.18000000000000002,0.14
