model,axis,group,rows,real_n,fake_n,MUSIC_EER,FPR_at_05,FNR_at_05
factorial_bce,AUDIO_TYPE,music,561,281,280,0.06060625317742756,0.15302491103202848,0.04285714285714286
factorial_bce,CHANNEL,clean,120,60,60,0.033333333333333326,0.21666666666666667,0.0
factorial_bce,CHANNEL,clean_flac,58,28,30,0.29285714285714287,0.32142857142857145,0.16666666666666666
factorial_bce,CHANNEL,g711_ulaw,120,60,60,0.09999999999999999,0.18333333333333332,0.016666666666666666
factorial_bce,CHANNEL,g722_wb,120,60,60,0.050000000000000024,0.25,0.0
factorial_bce,CHANNEL,mp3_64k,59,29,30,0.23735632183908045,0.4482758620689655,0.06666666666666667
factorial_bce,CHANNEL,noisy_flac,58,30,28,0.10357142857142855,0.23333333333333334,0.07142857142857142
factorial_bce,CHANNEL,ogg_48k,58,30,28,0.10357142857142855,0.26666666666666666,0.07142857142857142
factorial_bce,CHANNEL,opus_nb_8k,120,60,60,0.25,0.2833333333333333,0.11666666666666667
factorial_bce,CHANNEL,stereo_wav,58,30,28,0.17261904761904762,0.2,0.10714285714285714
factorial_bce,CHANNEL,telephone_flac,59,28,31,0.18605990783410142,0.25,0.16129032258064516
factorial_bce,CHANNEL,transcode_g711_opus,120,60,60,0.2666666666666667,0.31666666666666665,0.16666666666666666
factorial_bce,CHANNEL_V57,clean,120,60,60,0.033333333333333326,0.21666666666666667,0.0
factorial_bce,CHANNEL_V57,clean_flac,58,28,30,0.29285714285714287,0.32142857142857145,0.16666666666666666
factorial_bce,CHANNEL_V57,common_flac16k,511,256,255,0.05088082107843139,0.1484375,0.0392156862745098
factorial_bce,CHANNEL_V57,flac16k,600,300,300,0.1266666666666667,0.2,0.07666666666666666
factorial_bce,CHANNEL_V57,g711_ulaw,120,60,60,0.09999999999999999,0.18333333333333332,0.016666666666666666
factorial_bce,CHANNEL_V57,g722_wb,120,60,60,0.050000000000000024,0.25,0.0
factorial_bce,CHANNEL_V57,mp3_64k,59,29,30,0.23735632183908045,0.4482758620689655,0.06666666666666667
factorial_bce,CHANNEL_V57,noisy_flac,58,30,28,0.10357142857142855,0.23333333333333334,0.07142857142857142
factorial_bce,CHANNEL_V57,ogg_48k,58,30,28,0.10357142857142855,0.26666666666666666,0.07142857142857142
factorial_bce,CHANNEL_V57,opus_nb_8k,120,60,60,0.25,0.2833333333333333,0.11666666666666667
factorial_bce,CHANNEL_V57,stereo_wav,58,30,28,0.17261904761904762,0.2,0.10714285714285714
factorial_bce,CHANNEL_V57,telephone8k,600,300,300,0.16333333333333333,0.2733333333333333,0.08666666666666667
factorial_bce,CHANNEL_V57,telephone_flac,59,28,31,0.18605990783410142,0.25,0.16129032258064516
factorial_bce,CHANNEL_V57,transcode_g711_opus,120,60,60,0.2666666666666667,0.31666666666666665,0.16666666666666666
factorial_bce,CHANNEL_V57,wav16k,1600,800,800,0.12,0.09,0.16375
factorial_bce,LAYOUT_V57,concurrent,1900,950,950,0.13368421052631577,0.1168421052631579,0.14842105263157895
factorial_bce,LAYOUT_V57,music_only,50,25,25,0.12,0.2,0.08
factorial_bce,LAYOUT_V57,partial_overlap,300,150,150,0.18000000000000002,0.32,0.08666666666666667
factorial_bce,LAYOUT_V57,sequential,900,450,450,0.13555555555555554,0.22444444444444445,0.04888888888888889
factorial_bce,LAYOUT_V57,simultaneous,600,300,300,0.17666666666666664,0.24666666666666667,0.13
factorial_bce,LAYOUT_V57,source_disjoint,400,200,200,0.050000000000000024,0.13,0.04
factorial_bce,LAYOUT_V57,source_matched_instrumental,61,6,55,0.018181818181818188,0.0,0.03636363636363636
factorial_bce,LAYOUT_V57,voice_screened_instrumental,50,50,0,,0.24,
factorial_bce,MIX_MODE,concurrent,300,150,150,0.17333333333333334,0.26,0.06666666666666667
factorial_bce,MIX_MODE,music_only,50,25,25,0.12,0.2,0.08
factorial_bce,MIX_MODE,partial_overlap,300,150,150,0.18000000000000002,0.32,0.08666666666666667
factorial_bce,MIX_MODE,sequential,300,150,150,0.15333333333333332,0.22,0.08
factorial_bce,FOREGROUND_LABEL,VOICE_REAL,1850,925,925,0.14810810810810815,0.16108108108108107,0.12432432432432433
factorial_bce,FOREGROUND_LABEL,VOICE_FAKE,1850,925,925,0.15567567567567564,0.2,0.10810810810810811
factorial_ranked,ALL,ALL,4261,2131,2130,0.14503638442574737,0.1980290943219146,0.09671361502347418
factorial_ranked,DATASET,codec_mixed_dev_v4,600,300,300,0.15000000000000002,0.27666666666666667,0.05333333333333334
factorial_ranked,DATASET,echoes_fma_paired_v3,111,56,55,0.05405844155844157,0.19642857142857142,0.03636363636363636
